date,actual,date,forecast
,,2016-02-24,196443.02667833265
,,2016-02-25,196053.90898432804
,,2016-02-26,198706.4265494271
,,2016-02-29,198339.2156885732
,,2016-03-01,202438.5686746944
,,2016-03-02,205277.3715723888
,,2016-03-03,204892.71799408377
,,2016-03-04,205899.36010207824
,,2016-03-07,207592.90723525512
,,2016-03-08,207613.75073893054
,,2016-03-09,208020.51381427946
,,2016-03-10,209190.5427065437
,,2016-03-11,208383.51298180455
,,2016-03-14,211708.16627127334
,,2016-03-15,210479.67173940194
,,2016-03-16,210558.11548492842
,,2016-03-17,209807.36784957466
,,2016-03-18,213681.39115998667
,,2016-03-21,213013.80231415847
,,2016-03-22,213126.45922600228
,,2016-03-23,213398.74198457494
,,2016-03-24,211274.61525853048
,,2016-03-28,210637.66879685252
,,2016-03-29,212024.860398899
,,2016-03-30,212995.25717918575
,,2016-03-31,214124.29702812462
,,2016-04-01,213364.20779769146
,,2016-04-04,215557.32669592166
,,2016-04-05,215290.67379577755
,,2016-04-06,212300.8689745161
,,2016-04-07,212587.1195968085
,,2016-04-08,211564.05929451704
,,2016-04-11,211995.81866323878
,,2016-04-12,211755.61781240738
,,2016-04-13,213756.0742062669
,,2016-04-14,216141.9938648959
,,2016-04-15,215719.57093573565
,,2016-04-18,214779.98051999026
,,2016-04-19,216294.11786181573
,,2016-04-20,218985.97966706153
,,2016-04-21,218805.30416164326
,,2016-04-22,217286.83090058906
,,2016-04-25,218857.19779721438
,,2016-04-26,219398.34571463708
,,2016-04-27,220273.94108503888
,,2016-04-28,221007.52793799224
,,2016-04-29,219014.66808706545
,,2016-05-02,218905.95032342267
,,2016-05-03,219963.91338373546
,,2016-05-04,217259.46463586082
,,2016-05-05,216845.7473126903
,,2016-05-06,215924.4085064961
,,2016-05-09,216763.6173439485
,,2016-05-10,214806.99474281695
,,2016-05-11,217398.2447913087
,,2016-05-12,214260.18917027971
,,2016-05-13,214999.92179584585
,,2016-05-16,212364.34261581802
,,2016-05-17,212722.58766715543
,,2016-05-18,211022.32375432795
,,2016-05-19,212435.8665990815
,,2016-05-20,211373.55311482446
,,2016-05-23,213038.2562601826
,,2016-05-24,212535.5963282421
,,2016-05-25,215440.31923601613
,,2016-05-26,216148.92624519498
,,2016-05-27,214453.17497586115
,,2016-05-31,214235.83168360638
,,2016-06-01,211538.69658394
,,2016-06-02,212396.62741433777
,,2016-06-03,212406.12661330745
,,2016-06-06,211924.81042369897
,,2016-06-07,212708.45011824562
,,2016-06-08,212187.56353527989
,,2016-06-09,213548.519702985
,,2016-06-10,213056.81697763485
,,2016-06-13,212505.3729343764
,,2016-06-14,211270.11066512915
,,2016-06-15,212206.54926506482
,,2016-06-16,210119.90297183028
,,2016-06-17,213231.00304617546
,,2016-06-20,211344.56511914782
,,2016-06-21,212563.6773078856
,,2016-06-22,215429.59376114112
,,2016-06-23,216177.02431875438
,,2016-06-24,218703.17464760173
,,2016-06-27,209572.75089144375
,,2016-06-28,208044.49024461082
,,2016-06-29,210219.46081324964
,,2016-06-30,213165.68642953318
,,2016-07-01,217083.23404831905
,,2016-07-05,216290.50117861375
,,2016-07-06,212713.7253742565
,,2016-07-07,213421.79163347528
,,2016-07-08,212504.38684506732
,,2016-07-11,214304.21251236758
,,2016-07-12,216028.61284874025
,,2016-07-13,216917.7596055381
,,2016-07-14,218888.24786873814
,,2016-07-15,218897.48780472967
,,2016-07-18,218887.66474746418
,,2016-07-19,219356.11745905335
,,2016-07-20,219776.04676820926
,,2016-07-21,219060.16507894552
,,2016-07-22,216442.84375857736
,,2016-07-25,216740.58569859923
,,2016-07-26,215983.50072397362
,,2016-07-27,216692.39243402227
,,2016-07-28,216399.4239200228
,,2016-07-29,216562.8622013362
,,2016-08-01,215903.08321368892
,,2016-08-02,216093.51531208545
,,2016-08-03,214808.73834914417
,,2016-08-04,215385.27555714676
,,2016-08-05,215201.20246939856
,,2016-08-08,217954.43346942752
,,2016-08-09,218492.59042464412
,,2016-08-10,220742.8854708717
,,2016-08-11,219765.78687748237
,,2016-08-12,221579.71755420213
,,2016-08-15,221571.49375235057
,,2016-08-16,221914.54782155104
,,2016-08-17,220608.3338331313
,,2016-08-18,223562.71186411497
,,2016-08-19,223197.30757718248
,,2016-08-22,222993.1830485952
,,2016-08-23,222236.78457529197
,,2016-08-24,223137.6177555787
,,2016-08-25,222805.39969517192
,,2016-08-26,222871.86311812943
,,2016-08-29,221852.6327577781
,,2016-08-30,223379.4187222682
,,2016-08-31,225024.72087820782
,,2016-09-01,225612.53517148597
,,2016-09-02,225355.83403016627
,,2016-09-06,226023.06655819347
,,2016-09-07,225675.5488789876
,,2016-09-08,224094.64869382983
,,2016-09-09,224863.58815955347
,,2016-09-12,220209.08545501798
,,2016-09-13,223637.7044823888
,,2016-09-14,219223.71896511858
,,2016-09-15,219018.3904870834
,,2016-09-16,220470.11902238452
,,2016-09-19,218527.5108221905
,,2016-09-20,218027.5362054336
,,2016-09-21,218083.91699750006
,,2016-09-22,219636.02783680696
,,2016-09-23,219920.420544339
,,2016-09-26,218213.90056464134
,,2016-09-27,215965.1565755487
,,2016-09-28,218207.35664274852
,,2016-09-29,218010.03592243255
,,2016-09-30,215304.2446668594
,,2016-10-03,216319.46962945297
,,2016-10-04,215783.61181494303
,,2016-10-05,214774.24690991174
,,2016-10-06,216185.40951415017
,,2016-10-07,215869.89011523564
,,2016-10-10,216701.42975420423
,,2016-10-11,217725.52400047024
,,2016-10-12,215627.43696910638
,,2016-10-13,217194.78786542406
,,2016-10-14,215024.66144350579
,,2016-10-17,216086.38681324176
,,2016-10-18,215965.49812763405
,,2016-10-19,216773.62381638528
,,2016-10-20,217363.36492084555
,,2016-10-21,216685.5817307809
,,2016-10-24,215599.89522796054
,,2016-10-25,215508.4652424457
,,2016-10-26,215329.44756041124
,,2016-10-27,215601.78991765593
,,2016-10-28,216943.23226464743
,,2016-10-31,216314.78313153633
,,2016-11-01,215718.63041435782
,,2016-11-02,215258.55017927976
,,2016-11-03,214967.5628978121
,,2016-11-04,215056.5031914921
,,2016-11-07,214500.34487639385
,,2016-11-08,220317.29173580284
,,2016-11-09,221420.9145140068
